V1,V2,V3,V4,y
4.71,-1.98,4710,-0.0198,3
1.6,1.68,1600,0.0168,0
4.45,4.86,4450,0.0486,1
8.75,4.27,8750,0.0427,2
4.46,-0.21,4460,-0.0021,3
0.68,1.89,680,0.0189,0
4.5,5.32,4500,0.0532,1
8.46,3.73,8460,0.0373,2
4.68,-2.03,4680,-0.0203,3
0.43,1.23,430,0.0123,0
7.1,6.16,7100,0.0616,1
8.92,2.65,8920,0.0265,2
4.31,-1.96,4310,-0.0196,3
0.01,0.19,10,0.0019,0
5.55,3.53,5550,0.0353,1
7.71,1.47,7710,0.0147,2
4.63,-1.4,4630,-0.014,3
1.2,-0.17,1200,-0.0017,0
5.16,6.5,5160,0.065,1
9.04,2.81,9040,0.0281,2
4.17,-0.5,4170,-0.005,3
1.75,1.09,1750,0.0109,0
4.55,7.6,4550,0.076,1
8.81,2.94,8810,0.0294,2
3.08,-0.92,3080,-0.0092,3
1.22,1.07,1220,0.0107,0
5.4,6.44,5400,0.0644,1
8.09,2.02,8090,0.0202,2
6.2,-0.72,6200,-0.0072,3
0.69,1.63,690,0.0163,0
4.01,6.83,4010,0.0683,1
7.3,0.73,7300,0.0073,2
3.29,-0.3,3290,-0.003,3
0.55,0.7,550,0.007,0
4.4,6.75,4400,0.0675,1
8.71,3.38,8710,0.0338,2
6.12,-1.8,6120,-0.018,3
